text,label
"honestly not sure what to make for dinner tonight, might just do beans on toast again lol",human
"So I tried fixing the leaky tap myself yesterday and ended up flooding half the kitchen. Never again.",human
"my dog keeps stealing socks from the laundry basket and hiding them under the sofa, its actually hilarious",human
"Went for a run this morning, legs are still killing me now, worth it though",human
"cant believe the bus was 20 mins late again this morning, missed my whole first lecture",human
"Finally finished the assignment at 3am, brain is fried but at least its done",human
"my nan makes the best roast potatoes, no idea what she does differently but they're unreal",human
"Been trying to learn guitar for like 3 months now and I still can't do a clean F chord",human
"pretty sure my laptop is about to give up on me, fans been making a weird grinding noise all week",human
"Went to the corner shop for milk and somehow came back with a whole bag of snacks instead",human
"the wifi at the library keeps cutting out, third time this week ive had to restart my laptop",human
"just watched the match, absolute robbery of a red card in the second half",human
"my flatmate left dishes in the sink for a week again, we're gonna have words",human
"tried a new recipe last night, burnt the garlic and had to start over lol",human
"spent way too long doom scrolling instead of revising, oops",human
"the heating's broken again in my building, currently wearing two jumpers indoors",human
"finally got my grade back for that essay, way better than I expected honestly",human
"my little brother keeps asking me to help with his maths homework and I genuinely can't remember any of it",human
"went for a walk to clear my head, ended up getting rained on the whole way home",human
"can't sleep, brain just won't switch off tonight",human
"queued for like 40 minutes at the post office just to send one parcel, absolute joke",human
"my plant finally sprouted a new leaf after weeks of nothing, small win but I'll take it",human
"forgot my umbrella again and obviously it started pouring the second I left the house",human
"spent the whole afternoon reorganising my room instead of doing actual work, no regrets though",human
"the new café down the road does a decent flat white, bit pricey but worth it occasionally",human
"tried to parallel park for the first time on my own today, nearly hit the curb twice",human
"my phone battery is basically useless now, dies by like 2pm even with barely any use",human
"binge watched an entire series last night when I was meant to be sleeping, no self control clearly",human
"the gym was packed tonight, had to wait ages just to use a bench",human
"accidentally sent that message to the wrong groupchat, mortifying",human
"In today's fast-paced digital landscape, it is essential to leverage cutting-edge solutions to remain competitive.",ai
"Furthermore, it is important to note that a balanced diet, combined with regular exercise, can significantly improve overall well-being.",ai
"In conclusion, effective time management is a crucial skill that can enhance productivity across various aspects of life.",ai
"As an AI language model, I do not have personal experiences, but I can provide information on this topic.",ai
"Overall, it can be concluded that renewable energy sources offer a promising pathway toward sustainable development.",ai
"Let's dive into the key benefits of adopting a growth mindset in both personal and professional settings.",ai
"It is worth noting that effective communication plays a vital role in building strong interpersonal relationships.",ai
"In summary, the following steps outline a comprehensive approach to achieving your fitness goals.",ai
"I hope this helps! Feel free to reach out if you have any further questions or need additional clarification.",ai
"On one hand, remote work offers greater flexibility; on the other hand, it can present challenges related to collaboration.",ai
"To summarize, here are the top five strategies for improving your productivity in the workplace.",ai
"It is important to consider multiple perspectives when evaluating the potential impact of this decision.",ai
"In this article, we will explore the various factors that contribute to a successful marketing strategy.",ai
"Ultimately, the key to success lies in consistent effort, dedication, and a willingness to adapt to change.",ai
"This comprehensive guide will walk you through the essential steps required to set up your development environment.",ai
"As we navigate an increasingly interconnected world, it becomes ever more important to prioritize digital literacy.",ai
"By implementing these best practices, organizations can significantly enhance their operational efficiency.",ai
"It is crucial to strike a balance between innovation and maintaining core business values.",ai
"In order to achieve optimal results, it is recommended that users follow the guidelines outlined below.",ai
"Moreover, research suggests that mindfulness practices can have a positive impact on mental health outcomes.",ai
"This article aims to provide a thorough overview of the benefits and drawbacks of artificial intelligence in healthcare.",ai
"To conclude, adopting sustainable practices is not only beneficial for the environment but also for long-term profitability.",ai
"It should be noted that individual results may vary depending on a range of contributing factors.",ai
"Below is a step-by-step breakdown of the process, designed to help you achieve your desired outcome efficiently.",ai
"In light of recent developments, it is essential to reassess existing strategies to ensure continued success.",ai
"As previously mentioned, consistency is key when it comes to building sustainable long-term habits.",ai
"This section will provide an in-depth analysis of the various factors influencing consumer behavior.",ai
"It is highly recommended that individuals consult a professional before making significant lifestyle changes.",ai
"Taking all factors into consideration, it becomes clear that a holistic approach yields the most effective results.",ai
"Whether you are a beginner or an experienced professional, these tips will help you achieve your goals more efficiently.",ai
